,,,,Independent Variable,Distance moved,Velocity,Velocity.1
,,,,Independent Variable,Center-point,Center-point,Center-point
,,,,Treatment,Total,Mean,Total
,,,,,cm,cm/s,cm/s
Result 1,Trial     1,A1,49:40:00-49:50:00,,14.9018,0.0382648,186.273
Result 1,Trial     1,A1,49:50:00-50:00:00,,22.5294,0.0453855,281.617
Result 1,Trial     1,A1,50:00:00-50:10:00,,22.7477,0.055439,284.347
Result 1,Trial     1,A1,50:10:00-50:20:00,,26.6044,0.0707113,332.555
Result 1,Trial     1,A1,50:20:00-50:30:00,,16.8147,0.0662622,210.184
Result 1,Trial     1,A1,50:30:00-50:40:00,,29.8111,0.0957203,372.639
Result 1,Trial     1,A1,50:40:00-50:50:00,,33.6202,0.0867932,420.253
Result 1,Trial     1,A1,50:50:00-51:00:00,,39.4155,0.0889338,492.693
Result 1,Trial     1,A1,51:00:00-51:10:00,,49.6644,0.109683,620.805
Result 1,Trial     1,A1,51:10:00-51:20:00,,20.792,0.0603435,259.9
Result 1,Trial     1,A1,51:20:00-51:30:00,,14.1814,0.0846143,177.267
Result 1,Trial     1,A1,51:30:00-51:40:00,,19.2934,0.0652863,241.168
Result 1,Trial     1,A1,51:40:00-51:50:00,,16.7476,0.0533906,209.345
Result 1,Trial     1,A1,51:50:00-52:00:00,,34.048,0.0649077,425.6
Result 1,Trial     1,A1,52:00:00-52:10:00,,27.3254,0.0564761,341.567
Result 1,Trial     1,A1,52:10:00-52:20:00,,35.7321,0.125464,446.651
Result 1,Trial     1,A1,52:20:00-52:30:00,,44.1661,0.136046,552.076
Result 1,Trial     1,A1,52:30:00-52:40:00,,33.4631,0.0897614,418.288
Result 1,Trial     1,A1,52:40:00-52:50:00,,27.4917,0.0889816,343.647
Result 1,Trial     1,A1,52:50:00-53:00:00,,19.7217,0.0542522,246.522
Result 1,Trial     1,A1,53:00:00-53:10:00,,51.0826,0.0963677,638.532
Result 1,Trial     1,A1,53:10:00-53:20:00,,47.1833,0.112064,589.791
Result 1,Trial     1,A1,53:20:00-53:30:00,,31.7988,0.119222,397.485
Result 1,Trial     1,A1,53:30:00-53:40:00,,31.2213,0.0894696,390.266
Result 1,Trial     1,A1,53:40:00-53:50:00,,49.3868,0.104156,617.335
Result 1,Trial     1,A1,53:50:00-54:00:00,,50.364,0.124196,629.55
Result 1,Trial     1,A1,54:00:00-54:10:00,,43.3466,0.118563,541.833
Result 1,Trial     1,A1,54:10:00-54:20:00,,50.6002,0.133496,632.503
Result 1,Trial     1,A1,54:20:00-54:30:00,,45.8241,0.143344,572.801
Result 1,Trial     1,A1,54:30:00-54:40:00,,48.6251,0.110371,607.813
Result 1,Trial     1,A1,54:40:00-54:50:00,,45.9399,0.152644,574.248
Result 1,Trial     1,A1,54:50:00-55:00:00,,31.2236,0.116298,390.295
Result 1,Trial     1,A1,55:00:00-55:10:00,,35.9893,0.107162,449.867
Result 1,Trial     1,A1,55:10:00-55:20:00,,42.8228,0.110005,535.284
Result 1,Trial     1,A1,55:20:00-55:30:00,,41.8414,0.125514,523.017
Result 1,Trial     1,A1,55:30:00-55:40:00,,50.8646,0.129072,635.807
Result 1,Trial     1,A1,55:40:00-55:50:00,,46.677,0.141274,583.462
Result 1,Trial     1,A1,55:50:00-56:00:00,,58.481,0.1618,731.013
Result 1,Trial     1,A1,56:00:00-56:10:00,,56.351,0.155254,704.387
Result 1,Trial     1,A1,56:10:00-56:20:00,,45.2224,0.131859,565.279
